anio_mundial,equipo_local,equipo_visitante,url_partido,jugador,seleccion_gol,minuto,minuto_num,tipo_gol,tiempo_extra
1966,URSS,Corea del Norte,1966_urss_corea_del_norte,Eduard Malofeyev,URSS,88,88,normal,false
1966,Brasil,Bulgaria,1966_brasil_bulgaria,Pelé,Brasil,15,15,normal,false
1966,Brasil,Bulgaria,1966_brasil_bulgaria,Garrincha,Brasil,63,63,normal,false
1966,Francia,México,1966_francia_mexico,Enrique Borja,México,48,48,normal,false
1966,Francia,México,1966_francia_mexico,Gerard Hausser,Francia,62,62,normal,false
1966,Italia,Chile,1966_italia_chile,Sandro Mazzola,Italia,8,8,normal,false
1966,Italia,Chile,1966_italia_chile,Paolo Barison,Italia,88,88,normal,false
1966,Portugal,Hungría,1966_portugal_hungria,Jose Augusto,Portugal,2,2,normal,false
1966,Portugal,Hungría,1966_portugal_hungria,Ferenc Bene,Hungría,60,60,normal,false
1966,Portugal,Hungría,1966_portugal_hungria,Jose Augusto,Portugal,67,67,normal,false
1966,Portugal,Hungría,1966_portugal_hungria,Jose Torres,Portugal,90,90,normal,false
1966,Argentina,España,1966_argentina_espana,Luis Artime,Argentina,65,65,normal,false
1966,Argentina,España,1966_argentina_espana,Pirri,España,71,71,normal,false
1966,Argentina,España,1966_argentina_espana,Luis Artime,Argentina,79,79,normal,false
1966,Uruguay,Francia,1966_uruguay_francia,Hector De Bourgoing,Francia,15,15,penal,false
1966,Uruguay,Francia,1966_uruguay_francia,Pedro Rocha,Uruguay,26,26,normal,false
1966,Uruguay,Francia,1966_uruguay_francia,Julio Cortes,Uruguay,31,31,normal,false
1966,Hungría,Brasil,1966_hungria_brasil,Ferenc Bene,Hungría,2,2,normal,false
1966,Hungría,Brasil,1966_hungria_brasil,Tostao,Brasil,14,14,normal,false
1966,Hungría,Brasil,1966_hungria_brasil,Janos Farkas,Hungría,64,64,normal,false
1966,Hungría,Brasil,1966_hungria_brasil,Kalman Meszoly,Hungría,73,73,penal,false
1966,España,Suiza,1966_espana_suiza,Rene Quentin,Suiza,28,28,normal,false
1966,España,Suiza,1966_espana_suiza,Manuel Sanchis,España,57,57,normal,false
1966,España,Suiza,1966_espana_suiza,Amancio,España,75,75,normal,false
1966,Corea del Norte,Chile,1966_corea_del_norte_chile,Ruben Marcos,Chile,26,26,penal,false
1966,Corea del Norte,Chile,1966_corea_del_norte_chile,Seung Zin Pak,Corea del Norte,88,88,normal,false
1966,Portugal,Bulgaria,1966_portugal_bulgaria,Ivan Vutsov,Portugal,17,17,normal,false
1966,Portugal,Bulgaria,1966_portugal_bulgaria,Eusebio,Portugal,38,38,normal,false
1966,Portugal,Bulgaria,1966_portugal_bulgaria,Jose Torres,Portugal,81,81,normal,false
1966,URSS,Italia,1966_urss_italia,Igor Chislenko,URSS,57,57,normal,false
1966,Inglaterra,México,1966_inglaterra_mexico,Bobby Charlton,Inglaterra,37,37,normal,false
1966,Inglaterra,México,1966_inglaterra_mexico,Roger Hunt,Inglaterra,75,75,normal,false
1966,Portugal,Brasil,1966_portugal_brasil,Simoes,Portugal,15,15,normal,false
1966,Portugal,Brasil,1966_portugal_brasil,Eusebio,Portugal,27,27,normal,false
1966,Portugal,Brasil,1966_portugal_brasil,Rildo,Brasil,73,73,normal,false
1966,Portugal,Brasil,1966_portugal_brasil,Eusebio,Portugal,85,85,normal,false
1966,Argentina,Suiza,1966_argentina_suiza,Luis Artime,Argentina,53,53,normal,false
1966,Argentina,Suiza,1966_argentina_suiza,Ermindo Onega,Argentina,81,81,normal,false
1966,Corea del Norte,Italia,1966_corea_del_norte_italia,Doo Ik Pak,Corea del Norte,42,42,normal,false
1966,Inglaterra,Francia,1966_inglaterra_francia,Roger Hunt,Inglaterra,38,38,normal,false
1966,Inglaterra,Francia,1966_inglaterra_francia,Roger Hunt,Inglaterra,75,75,normal,false
1966,Alemania Occidental,España,1966_alemania_occidental_espana,Jose Maria Fuste,España,22,22,normal,false
1966,Alemania Occidental,España,1966_alemania_occidental_espana,Lothar Emmerich,Alemania Occidental,38,38,normal,false
1966,Alemania Occidental,España,1966_alemania_occidental_espana,Uwe Seeler,Alemania Occidental,84,84,normal,false
1966,URSS,Chile,1966_urss_chile,Valeriy Porkuyan,URSS,28,28,normal,false
1966,URSS,Chile,1966_urss_chile,Ruben Marcos,Chile,32,32,normal,false
1966,URSS,Chile,1966_urss_chile,Valeriy Porkuyan,URSS,85,85,normal,false
1966,Hungría,Bulgaria,1966_hungria_bulgaria,Georgi Asparukhov,Bulgaria,15,15,normal,false
1966,Hungría,Bulgaria,1966_hungria_bulgaria,Ivan Davidov,Hungría,43,43,normal,false
1966,Hungría,Bulgaria,1966_hungria_bulgaria,Kalman Meszoly,Hungría,45,45,normal,false
1966,Hungría,Bulgaria,1966_hungria_bulgaria,Ferenc Bene,Hungría,54,54,normal,false
1966,Portugal,Corea del Norte,1966_portugal_corea_del_norte,Seung Zin Pak,Corea del Norte,1,1,normal,false
