apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Salihovic,Sejad,"Salihovic, Sejad",Bosnia-Herzegovina,8 de octubre de 1984,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/sejad_salihovic.php
Salinas,Felix,"Salinas, Felix",Perú,11 de mayo de 1939,Defensor,https://www.losmundialesdefutbol.com/jugadores/felix_salinas.php
Salisu,Mohammed,"Salisu, Mohammed",Ghana,17 de abril de 1999,Defensor,https://www.losmundialesdefutbol.com/jugadores/mohammed_salisu.php
Sallai,Sandor,"Sallai, Sandor",Hungría,26 de marzo de 1960,Defensor,https://www.losmundialesdefutbol.com/jugadores/sandor_sallai.php
Salli,Edgar,"Salli, Edgar",Camerún,17 de agosto de 1992,Delantero,https://www.losmundialesdefutbol.com/jugadores/edgar_salli.php
Salman,Tarek,Tarek Salman Suleiman Odeh,Catar,5 de diciembre de 1997,Defensor,https://www.losmundialesdefutbol.com/jugadores/tarek_salman.php
Salnikov,Sergei,"Salnikov, Sergei",URSS,13 de septiembre de 1925,Delantero,https://www.losmundialesdefutbol.com/jugadores/sergei_salnikov.php
Salpingidis,Dimitrios,"Salpingidis, Dimitrios",Grecia,18 de agosto de 1981,Delantero,https://www.losmundialesdefutbol.com/jugadores/dimitrios_salpingidis.php
Salva,Hector,"Salva, Hector",Uruguay,27 de noviembre de 1939,Delantero,https://www.losmundialesdefutbol.com/jugadores/hector_salva.php
Salvador,Luis,"Salvador, Luis",México,26 de febrero de 1968,Delantero,https://www.losmundialesdefutbol.com/jugadores/luis_salvador.php
Salvadore,Sandro,"Salvadore, Sandro",Italia,29 de noviembre de 1939,Defensor,https://www.losmundialesdefutbol.com/jugadores/sandro_salvadore.php
Salvio,Eduardo,Eduardo Antonio Salvio,Argentina,13 de julio de 1990,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/eduardo_salvio.php
Samadi,Mohamed,"Samadi, Mohamed",Marruecos,21 de marzo de 1970,Delantero,https://www.losmundialesdefutbol.com/jugadores/mohamed_samadi.php
Samaras,Georgios,"Samaras, Georgios",Grecia,21 de febrero de 1985,Delantero,https://www.losmundialesdefutbol.com/jugadores/georgios_samaras.php
Samaris,Andreas,"Samaris, Andreas",Grecia,13 de junio de 1989,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/andreas_samaris.php
Samedov,Aleksandr,Aleksandr Sergeyevich Samedov,Rusia,19 de junio de 1984,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/aleksandr_samedov.php
Samir,Saad,Saad El-Din Samir,Egipto,1 de abril de 1989,Defensor,https://www.losmundialesdefutbol.com/jugadores/saad_samir.php
Sammer,Matthias,"Sammer, Matthias",Alemania,5 de septiembre de 1967,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/matthias_sammer.php
,Jorge Sammir Cruz Campos,Jorge Sammir Cruz Campos,Croacia,23 de abril de 1987,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/sammir.php
Samuel,Collin,"Samuel, Collin",Trinidad y Tobago,27 de agosto de 1981,Delantero,https://www.losmundialesdefutbol.com/jugadores/collin_samuel.php
Samuel,Randy,"Samuel, Randy",Canadá,23 de diciembre de 1963,Defensor,https://www.losmundialesdefutbol.com/jugadores/randy_samuel.php
Samuel,Walter,"Samuel, Walter",Argentina,23 de marzo de 1978,Defensor,https://www.losmundialesdefutbol.com/jugadores/walter_samuel.php
Samuels,Jack,"Samuels, Jack",Indias Orientales Holand.,1 de enero de 1912,Defensor,https://www.losmundialesdefutbol.com/jugadores/jack_samuels.php
Samuelsson,Lennart,"Samuelsson, Lennart",Suecia,7 de julio de 1924,Defensor,https://www.losmundialesdefutbol.com/jugadores/lennart_samuelsson.php
San Jose,Isidoro,"San Jose, Isidoro",España,27 de octubre de 1955,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/isidoro_san_jose.php
Sanabria,Daniel,"Sanabria, Daniel",Paraguay,8 de febrero de 1977,Defensor,https://www.losmundialesdefutbol.com/jugadores/daniel_sanabria.php
Sanchez,Alexis,Alexis Alejandro Sánchez Sánchez,Chile,19 de diciembre de 1988,Delantero,https://www.losmundialesdefutbol.com/jugadores/alexis_sanchez.php
Sanchez,Alfredo,"Sanchez, Alfredo",México,,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/alfredo_sanchez.php
