apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Oshaniwa,Juwon,"Oshaniwa, Juwon",Nigeria,14 de septiembre de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/juwon_oshaniwa.php
Oshima,Ryota,Ryota Oshima,JapÃ³n,23 de enero de 1993,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/ryota_oshima.php
Osorio,Hilarion,"Osorio, Hilarion",Paraguay,,Delantero,https://www.losmundialesdefutbol.com/jugadores/hilarion_osorio.php
Osorio,Jonathan,Jonathan Osorio,CanadÃ¡,12 de junio de 1992,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jonathan_osorio.php
Osorio,Ricardo,"Osorio, Ricardo",MÃ©xico,30 de marzo de 1980,Defensor,https://www.losmundialesdefutbol.com/jugadores/ricardo_osorio.php
Osorio,Saturnino,"Osorio, Saturnino",El Salvador,6 de enero de 1945,Defensor,https://www.losmundialesdefutbol.com/jugadores/saturnino_osorio.php
Osorto,Francisco,"Osorto, Francisco",El Salvador,20 de marzo de 1957,Defensor,https://www.losmundialesdefutbol.com/jugadores/francisco_osorto.php
Ospina,David,David Ospina RamÃ­rez,Colombia,31 de agosto de 1988,Arquero,https://www.losmundialesdefutbol.com/jugadores/david_ospina.php
Ostad-Asadi,Ali Akbar,"Ostad-Asadi, Ali Akbar",IrÃ¡n,17 de septiembre de 1965,Defensor,https://www.losmundialesdefutbol.com/jugadores/ali_akbar_ostad_asadi.php
Ostenstad,Egil,"Ostenstad, Egil",Noruega,2 de enero de 1972,Delantero,https://www.losmundialesdefutbol.com/jugadores/egil_ostenstad.php
Osterc,Milan,"Osterc, Milan",Eslovenia,4 de julio de 1975,Delantero,https://www.losmundialesdefutbol.com/jugadores/milan_osterc.php
Ostolaza,Santiago,"Ostolaza, Santiago",Uruguay,10 de julio de 1962,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/santiago_ostolaza.php
Ostrovski,Leonid,"Ostrovski, Leonid",URSS,17 de enero de 1936,Defensor,https://www.losmundialesdefutbol.com/jugadores/leonid_ostrovski.php
Ostrowski,Marek,"Ostrowski, Marek",Polonia,22 de noviembre de 1959,Defensor,https://www.losmundialesdefutbol.com/jugadores/marek_ostrowski.php
Otamendi,Nicolas,NicolÃ¡s HernÃ¡n Gonzalo Otamendi,Argentina,12 de febrero de 1988,Defensor,https://www.losmundialesdefutbol.com/jugadores/nicolas_otamendi.php
Otayf,Abdullah,Abdullah Ibrahim Otayf,Arabia Saudita,3 de agosto de 1992,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/abdullah_otayf.php
Otepa,Kalambay,"Otepa, Kalambay",Zaire,12 de noviembre de 1948,Arquero,https://www.losmundialesdefutbol.com/jugadores/kalambay_otepa.php
Otero,Celso,"Otero, Celso",Uruguay,1 de febrero de 1958,Arquero,https://www.losmundialesdefutbol.com/jugadores/celso_otero.php
Otero,Jorge,"Otero, Jorge",EspaÃ±a,28 de enero de 1969,Defensor,https://www.losmundialesdefutbol.com/jugadores/jorge_otero.php
Ou,Chuliang,"Ou, Chuliang",China,26 de agosto de 1968,Arquero,https://www.losmundialesdefutbol.com/jugadores/chuliang_ou.php
Ouakili,Abderrahim,"Ouakili, Abderrahim",Marruecos,11 de diciembre de 1970,Delantero,https://www.losmundialesdefutbol.com/jugadores/abderrahim_ouakili.php
Oudani,Lahcen,"Oudani, Lahcen",Marruecos,14 de julio de 1959,Defensor,https://www.losmundialesdefutbol.com/jugadores/lahcen_oudani.php
Oum Gouet,Samuel,Samuel Yves Oum Gwet,CamerÃºn,14 de diciembre de 1997,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/samuel_oum_gouet.php
Ounahi,Azzedine,"Ounahi, Azzedine",Marruecos,19 de abril de 2000,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/azzedine_ounahi.php
Ouriaghli,Abdellah,"Ouriaghli, Abdellah",Marruecos,1 de enero de 1943,Arquero,https://www.losmundialesdefutbol.com/jugadores/abdellah_ouriaghli.php
Ovalle,Luis,Luis Carlos Ovalle Victoria,PanamÃ¡,7 de septiembre de 1988,Defensor,https://www.losmundialesdefutbol.com/jugadores/luis_ovalle.php
Overath,Wolfgang,"Overath, Wolfgang",Alemania Occidental,29 de septiembre de 1943,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/wolfgang_overath.php
Overmars,Marc,"Overmars, Marc",Paises Bajos,29 de marzo de 1973,Delantero,https://www.losmundialesdefutbol.com/jugadores/marc_overmars.php
Oviedo,Bryan,Bryan JosuÃ© Oviedo JimÃ©nez,Costa Rica,18 de febrero de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/bryan_oviedo.php
