apellido,nombre,nombre_completo,seleccion,fecha_nacimiento,posicion,url_ficha
Bounou,Yassine,Yassine Bounou,Marruecos,5 de abril de 1991,Arquero,https://www.losmundialesdefutbol.com/jugadores/yassine_bounou.php
Bourbotte,Francois,"Bourbotte, Francois",Francia,24 de febrero de 1913,Defensor,https://www.losmundialesdefutbol.com/jugadores/francois_bourbotte.php
Bourebbou,Abdelmajid,"Bourebbou, Abdelmajid",Argelia,16 de marzo de 1951,Delantero,https://www.losmundialesdefutbol.com/jugadores/abdelmajid_bourebbou.php
Bourgeois,Desire,"Bourgeois, Desire",BÃ©lgica,13 de diciembre de 1908,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/desire_bourgeois.php
Boussoufa,Mbark,Moubarak Boussoufa,Marruecos,17 de agosto de 1984,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/mbark_boussoufa.php
BoutaÃ¯b,Khalid,Khalid BoutaÃ¯b,Marruecos,24 de abril de 1987,Delantero,https://www.losmundialesdefutbol.com/jugadores/khalid_boutaib.php
Bouyahyaoui,Noureddine,"Bouyahyaoui, Noureddine",Marruecos,7 de enero de 1955,Defensor,https://www.losmundialesdefutbol.com/jugadores/noureddine_bouyahyaoui.php
Bouyboud,Abdelmajid,"Bouyboud, Abdelmajid",Marruecos,24 de octubre de 1966,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/abdelmajid_bouyboud.php
Bouzaiene,Raouf,"Bouzaiene, Raouf",TÃºnez,16 de agosto de 1970,Defensor,https://www.losmundialesdefutbol.com/jugadores/raouf_bouzaiene.php
Bowen,Dave,"Bowen, Dave",Gales,7 de junio de 1928,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/dave_bowen.php
Boy,Tomas,"Boy, Tomas",MÃ©xico,6 de junio de 1952,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/tomas_boy.php
Boyata,Dedryck,Anga Dedryck Boyata,BÃ©lgica,29 de noviembre de 1990,Defensor,https://www.losmundialesdefutbol.com/jugadores/dedryck_boyata.php
Boyd,Tom,"Boyd, Tom",Escocia,24 de noviembre de 1965,Defensor,https://www.losmundialesdefutbol.com/jugadores/tom_boyd.php
Boyd,Walter,"Boyd, Walter",Jamaica,1 de enero de 1972,Delantero,https://www.losmundialesdefutbol.com/jugadores/walter_boyd.php
Boye,John,"Boye, John",Ghana,23 de abril de 1987,Defensor,https://www.losmundialesdefutbol.com/jugadores/john_boye.php
Boyens,Andy,"Boyens, Andy",Nueva Zelanda,18 de septiembre de 1983,Defensor,https://www.losmundialesdefutbol.com/jugadores/andy_boyens.php
Boyle,Martin,Martin Callie Boyle,Australia,25 de abril de 1993,Delantero,https://www.losmundialesdefutbol.com/jugadores/martin_boyle.php
Bozanic,Oliver,"Bozanic, Oliver",Australia,8 de enero de 1989,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/oliver_bozanic.php
Bozsik,Jozsef,"Bozsik, Jozsef",HungrÃ­a,28 de noviembre de 1925,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/jozsef_bozsik.php
Braafheid,Edson,"Braafheid, Edson",Paises Bajos,8 de abril de 1983,Defensor,https://www.losmundialesdefutbol.com/jugadores/edson_braafheid.php
Brabrook,Peter,"Brabrook, Peter",Inglaterra,8 de noviembre de 1937,Delantero,https://www.losmundialesdefutbol.com/jugadores/peter_brabrook.php
Bracci,Francois,"Bracci, Francois",Francia,3 de noviembre de 1951,Defensor,https://www.losmundialesdefutbol.com/jugadores/francois_bracci.php
Bradac,Vojtech,"Bradac, Vojtech",Checoslovaquia,6 de octubre de 1913,Delantero,https://www.losmundialesdefutbol.com/jugadores/vojtech_bradac.php
BradariÄ‡,Filip,Filip BradariÄ‡,Croacia,11 de enero de 1992,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/filip_bradaric.php
Bradley,Michael,"Bradley, Michael",Estados Unidos,31 de julio de 1987,Mediocampista,https://www.losmundialesdefutbol.com/jugadores/michael_bradley.php
